num_res,num_rot,alpha,p,shots,mean_iter,mean_shots,num_qubits
6,3,0.2,1,35,6.0,210.0,18
6,3,0.2,1,40,8.0,320.0,18
6,3,0.2,1,45,3.0,135.0,18
6,3,0.2,1,50,6.0,300.0,18
6,3,0.2,2,15,25.0,375.0,18
6,3,0.2,2,20,13.0,260.0,18
6,3,0.2,2,25,9.0,225.0,18
6,3,0.2,2,30,11.0,330.0,18
6,3,0.2,2,35,8.0,280.0,18
6,3,0.2,2,40,9.0,360.0,18
6,3,0.2,2,45,8.0,360.0,18
6,3,0.2,2,50,16.0,800.0,18
6,3,0.2,3,20,41.0,820.0,18
6,3,0.2,3,25,10.0,250.0,18
6,3,0.2,3,30,2.0,60.0,18
6,3,0.2,3,35,36.0,1260.0,18
6,3,0.2,3,40,13.0,520.0,18
6,3,0.2,3,45,21.0,945.0,18
6,3,0.2,3,50,16.0,800.0,18
6,3,0.2,4,15,16.0,240.0,18
6,3,0.2,4,20,17.0,340.0,18
6,3,0.2,4,25,15.0,375.0,18
6,3,0.2,4,30,10.0,300.0,18
6,3,0.2,4,35,22.0,770.0,18
6,3,0.2,4,45,13.0,585.0,18
6,3,0.2,4,50,10.0,500.0,18
6,3,0.2,5,15,3.0,45.0,18
6,3,0.2,5,20,28.0,560.0,18
6,3,0.2,5,25,39.0,975.0,18
6,3,0.2,5,30,21.0,630.0,18
6,3,0.2,5,35,4.0,140.0,18
6,3,0.2,5,40,8.0,320.0,18
6,3,0.2,5,45,3.0,135.0,18
6,3,0.2,5,50,4.0,200.0,18
6,3,0.2,6,15,13.0,195.0,18
6,3,0.2,6,20,10.0,200.0,18
6,3,0.2,6,25,6.0,150.0,18
6,3,0.2,6,30,6.0,180.0,18
6,3,0.2,6,35,9.0,315.0,18
6,3,0.2,6,40,3.0,120.0,18
6,3,0.2,6,45,6.0,270.0,18
6,3,0.2,6,50,8.0,400.0,18
6,3,0.2,7,15,19.0,285.0,18
6,3,0.2,7,20,15.0,300.0,18
6,3,0.2,7,25,21.0,525.0,18
6,3,0.2,7,30,1.0,30.0,18
6,3,0.2,7,35,13.0,455.0,18
6,3,0.2,7,40,13.0,520.0,18
6,3,0.2,7,45,1.0,45.0,18
6,3,0.2,7,50,12.0,600.0,18
6,4,0.2,1,15,9.0,135.0,24
